passenger_id,passenger_record_count,passenger_id_conflict
P1146,1,False
P1147,1,False
P1148,1,False
P1149,1,False
P1150,1,False
P1151,1,False
P1152,1,False
P1153,1,False
P1154,1,False
P1155,1,False
P1156,1,False
P1157,1,False
P1158,1,False
P1159,1,False
P1160,1,False
P1161,1,False
P1162,1,False
P1163,1,False
P1164,1,False
P1165,1,False
P1166,1,False
P1167,1,False
P1168,1,False
P1169,1,False
P1170,1,False
P1171,1,False
P1172,1,False
P1173,1,False
P1174,1,False
P1175,1,False
P1176,1,False
P1177,1,False
P1178,2,True
P1179,1,False
P1180,1,False
P1181,1,False
P1182,1,False
P1183,1,False
P1184,1,False
P1185,1,False
P1186,1,False
P1187,1,False
P1188,1,False
P1189,1,False
P1190,1,False
P1191,1,False
P1192,1,False
P1193,1,False
P1194,1,False
P1195,1,False
P1196,1,False
P1197,1,False
P1198,1,False
P1199,1,False
P1200,1,False
P1201,1,False
P1202,1,False
P1203,1,False
P1204,1,False
P1205,1,False
P1206,1,False
P1207,1,False
P1208,1,False
P1209,1,False
P1210,1,False
P1211,1,False
P1212,1,False
P1213,1,False
P1214,1,False
P1215,1,False
P1216,2,True
P1217,1,False
P1218,1,False
P1219,1,False
P1220,1,False
P1221,1,False
P1222,1,False
P1223,1,False
P1224,1,False
P1225,1,False
P1226,1,False
P1227,1,False
P1228,1,False
P1229,1,False
P1230,1,False
P1231,1,False
P1232,1,False
P1233,1,False
P1234,1,False
P1235,1,False
P1236,2,True
P1237,1,False
P1238,1,False
P1239,1,False
P1240,1,False
P1241,1,False
P1242,1,False
P1243,1,False
P1244,1,False
P1245,1,False
P1246,1,False
P1247,1,False
P1248,1,False
P1249,1,False
P1250,1,False
P1251,1,False
P1252,2,True
P1253,1,False
P1254,1,False
P1255,1,False
P1256,1,False
P1257,1,False
P1258,1,False
P1259,1,False
P1260,1,False
P1261,1,False
P1262,1,False
P1263,1,False
P1264,1,False
P1265,1,False
P1266,1,False
P1267,1,False
P1268,1,False
P1269,1,False
P1270,1,False
P1271,1,False
P1272,1,False
P1273,1,False
P1274,1,False
P1275,1,False
P1276,1,False
P1277,1,False
P1278,1,False
P1279,1,False
P1280,1,False
P1281,1,False
P1282,1,False
P1283,1,False
P1284,1,False
P1285,1,False
P1286,1,False
P1287,1,False
P1288,1,False
P1289,1,False
P1290,1,False
P1291,1,False
P1292,1,False
P1293,1,False
P1294,1,False
P1295,1,False
P1296,1,False
P1297,1,False
P1298,1,False
P1299,1,False
P1300,1,False
P1301,1,False
P1302,1,False
P1303,1,False
P1304,1,False
P1305,1,False
P1306,1,False
P1307,1,False
P1308,1,False
P1309,1,False
P1310,1,False
P1311,1,False
P1312,1,False
P1313,1,False
P1314,1,False
P1315,1,False
P1316,1,False
P1317,1,False
P1318,1,False
P1319,1,False
P1320,1,False
P1321,1,False
P1322,1,False
P1323,1,False
P1324,1,False
P1325,1,False
P1326,1,False
P1327,1,False
P1328,1,False
P1329,1,False
P1330,1,False
P1331,2,True
P1332,1,False
P1333,1,False
P1334,1,False
P1335,1,False
P1336,1,False
P1337,1,False
P1338,1,False
P1339,1,False
P1340,1,False
P1341,1,False
P1342,1,False
P1343,1,False
P1344,1,False
P1345,1,False
P1346,1,False
P1347,1,False
P1348,1,False
P1349,1,False
P1350,1,False
P1351,1,False
P1352,1,False
P1353,1,False
P1354,1,False
P1355,1,False
P1356,1,False
P1357,1,False
P1358,1,False
P1359,1,False
P1360,1,False
P1361,1,False
P1362,1,False
P1363,1,False
P1364,1,False
P1365,1,False
P1366,1,False
P1367,1,False
P1368,1,False
P1369,1,False
P1370,1,False
P1371,1,False
P1372,1,False
P1373,1,False
P1374,1,False
P1375,1,False
P1376,1,False
P1377,1,False
P1378,1,False
P1379,1,False
P1380,1,False
P1381,1,False
P1382,1,False
P1383,1,False
P1384,1,False
P1385,1,False
P1386,1,False
P1387,1,False
P1388,1,False
P1389,1,False
P1390,1,False
P1391,1,False
P1392,1,False
P1393,1,False
P1394,1,False
P1395,1,False
P1396,1,False
P1397,1,False
P1398,1,False
P1399,1,False
P1400,1,False
P1401,1,False
P1402,1,False
P1403,1,False
P1404,1,False
P1405,1,False
P1406,1,False
P1407,1,False
P1408,3,True
P1409,1,False
P1410,1,False
P1411,1,False
P1412,1,False
P1413,2,True
P1414,1,False
P1415,1,False
P1416,1,False
P1417,1,False
P1418,1,False
P1419,1,False
P1420,1,False
P1421,1,False
P1422,1,False
P1423,1,False
P1424,1,False
P1425,1,False
P1426,1,False
P1427,1,False
P1428,1,False
P1429,1,False
P1430,1,False
P1431,1,False
P1432,1,False
P1433,1,False
P1434,1,False
P1435,1,False
P1436,1,False
P1437,1,False
P1438,1,False
P1439,1,False
P1440,1,False
P1441,1,False
P1442,1,False
P1443,1,False
P1444,1,False
P1445,1,False
P1446,1,False
P1447,1,False
P1448,1,False
P1449,1,False
P1450,1,False
P1451,1,False
P1452,1,False
P1453,1,False
P1454,1,False
P1455,1,False
P1456,1,False
P1457,1,False
P1458,1,False
P1459,1,False
P1460,1,False
P1461,1,False
P1462,1,False
P1463,1,False
P1464,1,False
P1465,1,False
P1466,1,False
P1467,1,False
P1468,1,False
P1469,2,True
P1470,1,False
P1471,1,False
P1472,1,False
P1473,1,False
P1474,1,False
P1475,1,False
P1476,1,False
P1477,1,False
P1478,1,False
P1479,1,False
P1480,1,False
P1481,1,False
P1482,1,False
P1483,1,False
P1484,1,False
P1485,1,False
P1486,1,False
P1487,1,False
P1488,1,False
P1489,1,False
P1490,1,False
P1491,1,False
P1492,1,False
P1493,1,False
P1494,1,False
P1495,1,False
P1496,1,False
P1497,1,False
P1498,1,False
P1499,1,False
P1500,1,False
P1501,1,False
P1502,1,False
P1503,1,False
P1504,1,False
P1505,1,False
P1506,1,False
P1507,1,False
P1508,1,False
P1509,1,False
P1510,1,False
P1511,1,False
P1512,1,False
P1513,1,False
P1514,1,False
P1515,1,False
P1516,1,False
P1517,1,False
P1518,1,False
P1519,1,False
P1520,1,False
P1521,1,False
P1522,1,False
P1523,1,False
P1524,1,False
P1525,1,False
P1526,1,False
P1527,1,False
P1528,1,False
P1529,1,False
P1530,1,False
P1531,1,False
P1532,1,False
P1533,1,False
P1534,1,False
P1535,1,False
P1536,1,False
P1537,1,False
P1538,1,False
P1539,1,False
P1540,1,False
P1541,1,False
P1542,2,True
P1543,1,False
P1544,1,False
P1545,1,False
P1546,1,False
P1547,1,False
P1548,1,False
P1549,1,False
P1550,1,False
P1551,1,False
P1552,1,False
P1553,1,False
P1554,1,False
P1555,1,False
P1556,1,False
P1557,1,False
P1558,1,False
P1559,1,False
P1560,1,False
P1561,1,False
P1562,1,False
P1563,1,False
P1564,1,False
P1565,1,False
P1566,1,False
P1567,1,False
P1568,1,False
P1569,1,False
P1570,1,False
P1571,1,False
P1572,1,False
P1573,1,False
P1574,1,False
P1575,1,False
P1576,1,False
P1577,1,False
P1578,1,False
P1579,1,False
P1580,1,False
P1581,1,False
P1582,1,False
P1583,1,False
P1584,1,False
P1585,1,False
P1586,1,False
P1587,1,False
P1588,1,False
P1589,1,False
P1590,1,False
P1591,1,False
P1592,1,False
P1593,1,False
P1594,1,False
P1595,1,False
P1596,1,False
P1597,1,False
P1598,1,False
P1599,1,False
P1600,1,False
P1601,1,False
P1602,1,False
P1603,1,False
P1604,1,False
P1605,1,False
P1606,1,False
P1607,1,False
P1608,1,False
P1609,1,False
P1610,1,False
P1611,1,False
P1612,1,False
P1613,1,False
P1614,1,False
P1615,2,True
P1616,1,False
P1617,1,False
P1618,1,False
P1619,1,False
P1620,1,False
P1621,1,False
P1622,1,False
P1623,1,False
P1624,1,False
P1625,1,False
P1626,1,False
P1627,1,False
P1628,1,False
P1629,1,False
P1630,2,True
P1631,1,False
P1632,1,False
P1633,1,False
P1634,1,False
P1635,1,False
P1636,1,False
P1637,1,False
P1638,1,False
P1639,1,False
P1640,1,False
P1641,1,False
P1642,1,False
P1643,1,False
P1644,1,False
P1645,1,False
P1646,1,False
P1647,1,False
P1648,1,False
P1649,1,False
P1650,1,False
P1651,1,False
P1652,1,False
P1653,1,False
P1654,1,False
P1655,1,False
P1656,1,False
P1657,1,False
P1658,1,False
P1659,1,False
P1660,1,False
P1661,1,False
P1662,1,False
P1663,1,False
P1664,1,False
P1665,1,False
P1666,1,False
P1667,1,False
P1668,1,False
P1669,1,False
P1670,1,False
P1671,1,False
P1672,1,False
P1673,1,False
P1674,1,False
P1675,1,False
P1676,1,False
P1677,1,False
P1678,1,False
P1679,1,False
P1680,1,False
P1681,1,False
P1682,1,False
P1683,1,False
P1684,1,False
P1685,1,False
P1686,1,False
P1687,1,False
P1688,1,False
P1689,1,False
P1690,1,False
P1691,1,False
P1692,1,False
P1693,1,False
P1694,1,False
P1695,2,True
P1696,1,False
P1697,1,False
P1698,1,False
P1699,1,False
P1700,1,False
P1701,1,False
P1702,1,False
P1703,1,False
P1704,1,False
P1705,1,False
P1706,1,False
P1707,1,False
P1708,1,False
P1709,1,False
P1710,1,False
P1711,2,True
P1712,1,False
P1713,1,False
P1714,1,False
P1715,1,False
P1716,1,False
P1717,1,False
P1718,1,False
P1719,1,False
P1720,1,False
P1721,1,False
P1722,1,False
P1723,1,False
P1724,1,False
P1725,1,False
P1726,1,False
P1727,2,True
P1728,2,True
P1729,1,False
P1730,1,False
P1731,1,False
P1732,1,False
P1733,1,False
P1734,1,False
P1735,1,False
P1736,1,False
P1737,1,False
P1738,1,False
P1739,1,False
P1740,1,False
P1741,1,False
P1742,1,False
P1743,1,False
P1744,1,False
P1745,1,False
P1746,1,False
P1747,1,False
P1748,1,False
P1749,1,False
P1750,1,False
P1751,1,False
P1752,1,False
P1753,1,False
P1754,1,False
P1755,1,False
P1756,1,False
P1757,1,False
P1758,1,False
P1759,1,False
P1760,1,False
P1761,1,False
P1762,1,False
P1763,1,False
P1764,1,False
P1765,1,False
P1766,1,False
P1767,1,False
P1768,1,False
P1769,1,False
P1770,1,False
P1771,1,False
P1772,1,False
P1773,1,False
P1774,1,False
P1775,1,False
P1776,1,False
P1777,1,False
P1778,1,False
P1779,1,False
P1780,1,False
P1781,2,True
P1782,1,False
P1783,1,False
P1784,1,False
P1785,1,False
P1786,1,False
P1787,1,False
P1788,1,False
P1789,1,False
P1790,1,False
P1791,1,False
P1792,1,False
P1793,1,False
P1794,1,False
P1795,1,False
P1796,1,False
P1797,1,False
P1798,1,False
P1799,1,False
P1800,1,False
P1801,1,False
P1802,1,False
P1803,1,False
P1804,1,False
P1805,1,False
P1806,1,False
P1807,2,True
P1808,1,False
P1809,1,False
P1810,1,False
P1811,3,True
P1812,1,False
P1813,1,False
P1814,1,False
P1815,1,False
P1816,1,False
P1817,1,False
P1818,1,False
P1819,1,False
P1820,1,False
P1821,1,False
P1822,1,False
P1823,1,False
P1824,1,False
P1825,1,False
P1826,1,False
P1827,1,False
P1828,1,False
P1829,1,False
P1830,1,False
P1831,1,False
P1832,1,False
P1833,1,False
P1834,1,False
P1835,1,False
P1836,1,False
P1837,1,False
P1838,1,False
P1839,1,False
P1840,1,False
P1841,1,False
P1842,1,False
P1843,1,False
P1844,1,False
P1845,1,False
P1846,1,False
P1847,1,False
P1848,1,False
P1849,1,False
P1850,1,False
P1851,1,False
P1852,1,False
P1853,1,False
P1854,1,False
P1855,1,False
P1856,1,False
P1857,1,False
P1858,2,True
P1859,1,False
P1860,1,False
P1861,1,False
P1862,1,False
P1863,1,False
P1864,1,False
P1865,1,False
P1866,1,False
P1867,1,False
P1868,1,False
P1869,1,False
P1870,1,False
P1871,1,False
P1872,1,False
P1873,1,False
P1874,1,False
P1875,2,True
P1876,1,False
P1877,1,False
P1878,1,False
P1879,1,False
P1880,1,False
P1881,1,False
P1882,1,False
P1883,1,False
P1884,1,False
P1885,1,False
P1886,1,False
P1887,1,False
P1888,1,False
P1889,2,True
P1890,1,False
P1891,1,False
P1892,1,False
P1893,1,False
P1894,1,False
P1895,1,False
P1896,1,False
P1897,1,False
P1898,1,False
P1899,1,False
P1900,1,False
P1901,1,False
P1902,1,False
P1903,1,False
P1904,1,False
P1905,2,True
P1906,1,False
P1907,1,False
P1908,1,False
P1909,1,False
P1910,1,False
P1911,1,False
P1912,2,True
P1913,1,False
P1914,1,False
P1915,1,False
P1916,1,False
P1917,1,False
P1918,1,False
P1919,1,False
P1920,1,False
P1921,1,False
P1922,1,False
P1923,1,False
P1924,1,False
P1925,1,False
P1926,1,False
P1927,1,False
P1928,1,False
P1929,1,False
P1930,1,False
P1931,2,True
P1932,1,False
P1933,1,False
P1934,1,False
P1935,1,False
P1936,1,False
P1937,1,False
P1938,1,False
P1939,1,False
P1940,1,False
P1941,1,False
P1942,1,False
P1943,1,False
P1944,2,True
P1945,1,False
P1946,1,False
P1947,1,False
P1948,1,False
P1949,1,False
P1950,1,False
P1951,1,False
P1952,1,False
P1953,1,False
P1954,1,False
P1955,1,False
P1956,1,False
P1957,1,False
P1958,1,False
P1959,1,False
P1960,1,False
P1961,1,False
P1962,1,False
P1963,1,False
P1964,1,False
P1965,1,False
P1966,1,False
P1967,1,False
P1968,1,False
P1969,1,False
P1970,1,False
P1971,1,False
P1972,1,False
P1973,1,False
P1974,1,False
P1975,1,False
P1976,1,False
P1977,1,False
P1978,1,False
P1979,1,False
P1980,1,False
P1981,1,False
P1982,2,True
P1983,1,False
P1984,1,False
P1985,2,True
P1986,1,False
P1987,1,False
P1988,1,False
P1989,1,False
P1990,1,False
P1991,2,True
P1992,1,False
P1993,1,False
P1994,2,True
P1995,1,False
P1996,1,False
P1997,1,False
P1998,1,False
P1999,2,True
